"","X","w1.date","treat","sex","age","educ","cauc","hisp","black","midEast","pacIsl","natAm","SAsian","EAsian","SEAsian","party","pDem","state","passCheck","videoContent","w1.totalQuestionnaireMin","w1.finishedQuestionnaire","onTaskMin","offTaskMin","w2.date","w2.totalQuestionnaireMin","w2.finishedQuestionnaire","leafyVeg_Freq","leafyVeg_Ounces","otherVeg_Freq","otherVeg_Ounces","fruit_Freq","fruit_Ounces","wholeGrain_Freq","wholeGrain_Ounces","legumes_Freq","legumes_Ounces","chicken_Freq","chicken_Ounces","turkey_Freq","turkey_Ounces","fish_Freq","fish_Ounces","pork_Freq","pork_Ounces","beef_Freq","beef_Ounces","otherMeat_Freq","otherMeat_Ounces","dairy_Freq","dairy_Ounces","eggs_Freq","eggs_Ounces","refined_Freq","refined_Ounces","beverages_Freq","beverages_Ounces","guessPurpose","guessPurpose2","covid","importHealth","importEnviro","importAnimals","X1_spec","X2_spec","X3_spec","X4_spec","X5_spec","X6_spec","X1_activ","X2_activ","X3_activ","X4_activ","X5_activ","X1_dom","X2_dom","X3_dom","X4_dom","X5_dom","X6_dom","X7_dom","X8_dom","ID","chicken","turkey","fish","pork","beef","otherMeat","dairy","eggs","refined","beverages","leafyVeg","otherVeg","fruit","wholeGrain","legumes","totalMeat","totalAnimProd","mainY","mainYFreqOnly","totalGood","spec","activ","dom","aware","female","young","party2","pDem2","collegeGrad","fuDays","numFoodFreqMissing","treat.pretty"
"13",13,2020-08-26,1,"b.Male",61,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.359472704352109,"North Carolina",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1354,TRUE,0.277133333333333,20.8162666666667,2020-09-07,385,TRUE,0,0,14,3.5,3.5,5,0,0,0,0,3.5,3.5,2,3.5,0,0,0,0,0,0,0,0,7,2,7,5,0,0,0,0,"j.dontKnow","","d.noChange",4,3,2,7,3,3,6,-2,3,2,2,7,5,3,1,2,-6,-5,7,7,-1,-7,"569916e4b0e16500050131b4",12.25,7,0,0,0,0,14,35,0,0,0,49,17.5,0,0,19.25,49,68.25,19.5,66.5,1.22101364767195,-0.237694361796805,0.945827584230525,FALSE,0,FALSE,"b.Neutral",3.59472704352109,FALSE,12,0,"Documentary"
"14",14,2020-08-26,0,"a.Female",57,"e.post",1,0,0,0,0,0,0,0,0,"Democrat",0.32760909393433,"Texas",FALSE,"Most Americans get less than the recommended amount of exercise.",2603,TRUE,0.4857,40.1508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5699cf0625d9e9000db0c789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,"c.Democrat",3.2760909393433,TRUE,NA,8,"Control"
"15",15,2020-08-26,0,"b.Male",26,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.547605357645151,"Michigan",FALSE,"Exercising for even 10 minutes a day can improve health.",1338,TRUE,3.9308,17.2646833333333,2020-09-07,249,TRUE,5.5,3.5,3.5,5,3.5,2,7,2,14,5,7,3.5,0,0,0,0,0,0,0,0,0,0,5.5,3.5,5.5,2,0,0,0,0,"a.totalCal","a.generalPatterns","d.noChange",5,4,2,6,2,3,3,-2,6,1,1,6,1,4,5,4,-5,-3,5,3,-3,-7,"5699d25625d9e9000db0c7cc",24.5,0,0,0,0,0,19.25,11,0,0,19.25,17.5,7,14,70,24.5,30.25,54.75,18,127.75,0.94830476293899,-1.07558523388298,1.04338464323292,FALSE,0,FALSE,"c.Democrat",5.47605357645151,TRUE,12,0,"Control"
"16",16,2020-08-26,0,"b.Male",25,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.381469282683489,"Kentucky",FALSE,"Most Americans get less than the recommended amount of exercise.,Exercising for even 10 minutes a day can improve health.",1362,TRUE,0.182816666666667,21.2062833333333,2020-09-07,481,TRUE,5.5,3.5,5.5,5,2,3.5,1,5,3.5,5,5.5,5,0,0,0,0,1,2,2,3.5,0,0,3.5,5,5.5,3.5,0,0,1,3.5,"g.meatAnimProd","a.generalPatterns","b.somewhatLess",6,6,6,1,1,1,1,-7,1,5,5,7,6,7,1,1,-7,-7,1,1,-7,-7,"569cffa09e8363000c3087cd",27.5,0,0,2,7,0,17.5,19.25,0,3.5,19.25,27.5,7,5,17.5,36.5,36.75,73.25,17.5,76.25,-1.77878408439057,1.29843890369452,-1.20042771382214,FALSE,0,TRUE,"c.Democrat",3.81469282683489,TRUE,12,0,"Control"
"17",17,2020-08-26,1,"a.Female",44,"d.4yr",1,0,0,0,0,0,0,0,0,"Republican",0.574116095424926,"Florida",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1615,TRUE,0.0567833333333333,21.1489166666667,2020-09-07,301,TRUE,7,5,14,5,14,5,0,0,3.5,3.5,3.5,5,1,3.5,1,5,0,0,2,3.5,0,0,3.5,3.5,1,3.5,0,0,0,0,"d.vegetables","b.increase","d.noChange",6,5,6,1,1,1,1,-7,1,7,7,7,7,7,7,7,-2,-1,7,7,-1,-1,"56bb6812bf2129000b53ce26",17.5,3.5,5,0,7,0,12.25,3.5,0,0,35,70,70,0,12.25,33,15.75,48.75,12,187.25,-1.77878408439057,1.99668129709967,3.38475405929037,FALSE,1,FALSE,"a.Republican",5.74116095424926,TRUE,12,0,"Documentary"
"18",18,2020-08-26,1,"a.Female",74,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.633744778534603,"New York",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1675,TRUE,0.481516666666667,24.74355,2020-09-07,517,TRUE,5.5,5,5.5,2,5.5,5,5.5,5,0,0,2,3.5,0,0,0,0,0,0,0,0,0,0,14,5,2,3.5,1,2,0,0,"j.dontKnow","","b.somewhatLess",4,2,2,4,1,1,4,-7,1,1,1,7,7,7,1,1,-7,-7,4,1,-7,-7,"56fdff4ee0f9ff000f19c466",7,0,0,0,0,0,70,7,2,0,27.5,11,27.5,27.5,0,7,77,84,18,93.5,-0.960657430191702,0.320899552927314,-0.907756536814956,FALSE,1,FALSE,"c.Democrat",6.33744778534603,TRUE,12,0,"Documentary"
"19",19,2020-08-26,1,"b.Male",22,"e.post",1,0,0,0,0,0,0,0,0,"Democrat",0.473546054790262,"Georgia",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1420,TRUE,0.247416666666667,20.91465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5706cba83409da00081a0b5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,"c.Democrat",4.73546054790262,TRUE,NA,8,"Documentary"
"20",20,2020-08-26,1,"a.Female",49,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.594181625872585,"Pennsylvania",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1810,TRUE,8.11515,21.1061333333333,2020-09-07,424,TRUE,2,3.5,3.5,3.5,1,2,5.5,3.5,0,0,2,5,0,0,0,0,1,5,2,5,0,0,5.5,3.5,2,3.5,2,3.5,0,0,"a.totalCal","a.generalPatterns","d.noChange",3,3,3,3,2,3,3,-4,4,4,4,5,4,5,3,3,-6,-5,4,3,-5,-6,"5720a9f6fd3a5200113c1891",10,0,0,5,10,0,19.25,7,7,0,7,12.25,2,19.25,0,25,26.25,51.25,12.5,40.5,-0.00617633362635618,0.181251074246285,0.262928171213768,FALSE,1,FALSE,"c.Democrat",5.94181625872585,FALSE,12,0,"Documentary"
"21",21,2020-08-26,0,"a.Female",41,"d.4yr",1,0,0,0,0,0,0,0,1,"Republican",0.370474546979568,"Oklahoma",FALSE,"Exercising for even 10 minutes a day can improve health.",1900,TRUE,0.255283333333333,29.0622666666667,2020-09-07,615,TRUE,3.5,5,3.5,5,2,3.5,1,3.5,2,3.5,2,3.5,0,0,2,3.5,1,3.5,1,3.5,0,0,0,0,3.5,3.5,2,3.5,3.5,5,"j.dontKnow","","d.noChange",3,2,3,6,4,6,6,-1,4,1,1,1,1,1,7,7,-1,-7,7,7,-1,-4,"573a8aca67421f000f191c52",7,0,7,3.5,3.5,0,0,12.25,7,17.5,17.5,17.5,7,3.5,7,21,12.25,33.25,9.5,52.5,1.90278585950434,-2.19277306333122,2.60429758727122,FALSE,1,FALSE,"a.Republican",3.70474546979568,TRUE,12,0,"Control"
"22",22,2020-08-26,1,"a.Female",69,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.298721023181455,"Oklahoma",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1436,TRUE,0.332633333333333,22.2793833333333,2020-09-07,479,TRUE,3.5,3.5,7,3.5,2,2,7,2,1,2,5.5,3.5,1,3.5,2,3.5,3.5,3.5,3.5,3.5,2,3.5,14,3.5,2,2,3.5,2,14,5,"a.totalCal","a.generalPatterns","d.noChange",2,3,3,5,5,2,5,-4,6,2,2,6,4,3,1,1,-7,-7,1,1,-7,-7,"574ce0a57fd0ec000db73aa6",19.25,3.5,7,12.25,12.25,7,49,4,7,70,12.25,24.5,4,14,2,61.25,53,114.25,33.5,56.75,1.08465920530547,-0.516991319158865,-1.20042771382214,FALSE,1,FALSE,"b.Neutral",2.98721023181455,FALSE,12,0,"Documentary"
"23",23,2020-08-26,0,"a.Female",39,"b.HS",0,0,1,0,0,0,0,0,0,"Republican",0.49663076905213,"Texas",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",2736,TRUE,0.46535,20.7209666666667,2020-09-07,1155,TRUE,2,2,14,3.5,14,3.5,3.5,3.5,2,5,3.5,2,2,2,1,3.5,0,0,0,0,0,0,5.5,2,3.5,2,2,3.5,3.5,5,"d.vegetables","a.generalPatterns","b.somewhatLess",3,2,4,3,2,1,3,-7,1,4,3,6,6,4,6,3,-5,-7,6,2,-7,-6,"574eab79c18847000e071119",7,4,3.5,0,0,0,11,7,7,17.5,4,49,49,12.25,10,14.5,18,32.5,15.5,124.25,-1.09701187255818,0.320899552927314,0.360485230216162,FALSE,1,FALSE,"a.Republican",4.9663076905213,FALSE,12,0,"Control"
"24",24,2020-08-26,0,"b.Male",30,"d.4yr",1,0,0,0,0,0,0,0,0,"Independent",0.416188424803209,"Texas",FALSE,"Most Americans get less than the recommended amount of exercise.",1510,TRUE,18.8688833333333,2.11995,2020-09-07,431,TRUE,1,3.5,14,5,14,5,14,3.5,7,5,7,5,0,0,3.5,5,0,0,0,0,0,0,7,3.5,7,3.5,0,0,0,0,"j.dontKnow","","d.noChange",4,1,2,7,3,6,6,-1,6,1,1,1,1,1,4,2,-7,-2,7,7,-2,-2,"5761c23632676f0007eb36b3",35,0,17.5,0,0,0,24.5,24.5,0,0,3.5,70,70,49,35,52.5,49,101.5,24.5,227.5,2.17549474423729,-2.19277306333122,1.82384111525207,FALSE,0,FALSE,"b.Neutral",4.16188424803209,TRUE,12,0,"Control"
"25",25,2020-08-26,1,"b.Male",60,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.699132241158159,"California",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1356,TRUE,0.228916666666667,20.9065833333333,2020-09-07,521,TRUE,2,3.5,2,3.5,1,2,2,5,1,3.5,1,2,2,3.5,0,0,1,3.5,3.5,5,0,0,5.5,2,0,0,3.5,5,1,5,"d.vegetables","b.increase","d.noChange",3,2,3,2,1,5,1,-7,4,3,2,7,5,6,1,1,-7,-7,2,1,-7,-7,"577f70d1454e5400015f1845",2,7,0,3.5,17.5,0,11,0,17.5,5,7,7,2,10,3.5,30,11,41,13,29.5,-0.687948545458746,0.320899552927314,-1.10287065481974,FALSE,0,FALSE,"c.Democrat",6.99132241158159,TRUE,12,0,"Documentary"
"26",26,2020-08-26,1,"a.Female",25,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.393152296044272,"Maryland",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1301,TRUE,0.0946666666666667,20.7388333333333,2020-09-07,209,TRUE,3.5,3.5,3.5,5,3.5,3.5,5.5,5,1,2,3.5,3.5,0,0,0,0,1,3.5,2,3.5,0,0,5.5,5,0,0,2,2,2,2,"a.totalCal","a.generalPatterns","d.noChange",3,3,3,2,2,2,2,-5,2,3,3,6,5,3,1,1,-6,-7,1,1,-7,-7,"57ce74a271536c00015f12ed",12.25,0,0,3.5,7,0,27.5,0,4,4,12.25,17.5,12.25,27.5,2,22.75,27.5,50.25,12,71.5,-0.824302987825224,-0.0980458831157753,-1.10287065481974,FALSE,1,TRUE,"c.Democrat",3.93152296044272,TRUE,12,0,"Documentary"
"27",27,2020-08-26,1,"a.Female",30,"d.4yr",0,0,0,0,0,0,0,1,0,"Democrat",0.702528282776965,"California",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1670,TRUE,4.73841666666667,22.3500166666667,2020-09-07,317,TRUE,2,3.5,2,3.5,2,2,3.5,3.5,3.5,2,1,3.5,0,0,3.5,3.5,0,0,1,3.5,0,0,7,5,3.5,3.5,3.5,3.5,2,5,"g.meatAnimProd","a.generalPatterns","c.slightlyLess",3,3,3,2,2,2,2,-4,5,4,4,6,4,5,2,1,-7,-7,1,1,-7,-7,"57d6dd8d6598aa000199188b",3.5,0,12.25,0,3.5,0,35,12.25,12.25,10,7,7,4,12.25,7,19.25,47.25,66.5,16,37.25,-0.278885218359312,0.320899552927314,-1.10287065481974,FALSE,1,FALSE,"c.Democrat",7.02528282776965,TRUE,12,0,"Documentary"
"28",28,2020-08-26,1,"a.Female",52,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.562654670596352,"Arkansas",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1780,TRUE,0.130283333333333,20.8498166666667,2020-09-07,994,TRUE,3.5,3.5,14,2,7,3.5,5.5,2,2,2,3.5,3.5,0,0,1,3.5,1,2,2,3.5,2,2,5.5,2,2,2,2,2,0,0,"j.dontKnow","","d.noChange",3,3,2,4,5,5,6,-3,6,1,1,5,2,2,1,1,-7,-7,1,1,-7,-7,"57e7bb4e73e67300012b8e2a",12.25,0,3.5,2,7,4,11,4,4,0,12.25,28,24.5,11,4,28.75,15,43.75,17,79.75,1.63007697477138,-1.35488219124504,-1.20042771382214,FALSE,1,FALSE,"c.Democrat",5.62654670596352,FALSE,12,0,"Documentary"
"29",29,2020-08-26,1,"b.Male",36,"b.HS",1,0,0,0,0,0,0,0,0,"Republican",0.394397459392394,"Ohio",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1303,TRUE,0.15595,20.7019666666667,2020-09-07,120,TRUE,5.5,3.5,5.5,3.5,5.5,3.5,5.5,5,3.5,3.5,2,3.5,7,5,1,3.5,5.5,3.5,7,2,7,2,7,5,14,2,7,5,2,2,"f.wholeGrains","c.decrease","a.muchLess",4,5,6,3,5,6,6,-7,6,7,3,6,7,6,5,7,-6,-7,5,6,-5,-5,"57f64cfab36e0b000102d087",7,35,3.5,19.25,14,14,35,28,35,4,19.25,19.25,19.25,27.5,12.25,92.75,63,155.75,50.5,97.5,1.08465920530547,1.15879042501349,1.14094170223531,FALSE,0,FALSE,"a.Republican",3.94397459392394,FALSE,12,0,"Documentary"
