id,condition_expl,time,issue_name,female,age10y,educ2,party,interest_politics2,interest_voted_2020_2,interest_news2,R_two,R_all,extr,underst,issue_num,time_post
6,1,pre,ss,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,7,2,FALSE
6,1,pre,tax,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,5,2,FALSE
6,1,pre,teach,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,6,2,FALSE
7,0,post,nuc,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,5,1,TRUE
7,0,post,teach,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,6,2,TRUE
7,0,pre,cap,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,3,1,FALSE
7,0,pre,health,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,4,1,FALSE
7,0,pre,nuc,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,2,1,FALSE
7,0,pre,ss,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,4,2,FALSE
7,0,pre,tax,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,3,2,FALSE
7,0,pre,teach,a.Male,5.2,c.Master's or doctoral degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,3,2,FALSE
8,1,post,cap,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,3,6,1,TRUE
8,1,post,tax,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,5,2,TRUE
8,1,pre,cap,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,4,1,FALSE
8,1,pre,health,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,3,7,1,FALSE
8,1,pre,nuc,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,5,1,FALSE
8,1,pre,ss,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,0,7,2,FALSE
8,1,pre,tax,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,6,2,FALSE
8,1,pre,teach,a.Male,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,6,2,FALSE
9,1,post,health,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,2,6,1,TRUE
9,1,post,ss,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,1,6,2,TRUE
9,1,pre,cap,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,2,4,1,FALSE
9,1,pre,health,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,2,6,1,FALSE
9,1,pre,nuc,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,2,5,1,FALSE
9,1,pre,ss,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,2,5,2,FALSE
9,1,pre,tax,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,1,6,2,FALSE
9,1,pre,teach,a.Male,2.5,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,TRUE,1,1,5,2,FALSE
10,1,post,health,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,0,5,1,TRUE
10,1,post,ss,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,0,5,2,TRUE
10,1,pre,cap,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,1,3,1,FALSE
10,1,pre,health,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,0,4,1,FALSE
10,1,pre,nuc,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,1,4,1,FALSE
10,1,pre,ss,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,0,4,2,FALSE
10,1,pre,tax,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,0,5,2,FALSE
10,1,pre,teach,a.Male,3.6,a.High school or less,b.Republican,-0.608861764501275,a.Yes,1.08598179107852,TRUE,0,0,4,2,FALSE
11,1,post,health,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,2,7,1,TRUE
11,1,post,ss,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,2,6,2,TRUE
11,1,pre,cap,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,2,7,1,FALSE
11,1,pre,health,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,3,6,1,FALSE
11,1,pre,nuc,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,3,7,1,FALSE
11,1,pre,ss,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,3,7,2,FALSE
11,1,pre,tax,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,3,6,2,FALSE
11,1,pre,teach,a.Male,3,c.Bachelor's degree,b.Republican,-2.73774905296727,a.Yes,1.08598179107852,TRUE,0,2,7,2,FALSE
12,0,post,cap,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,2,7,1,TRUE
12,0,post,tax,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,0,6,2,TRUE
12,0,pre,cap,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,2,7,1,FALSE
12,0,pre,health,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,3,7,1,FALSE
12,0,pre,nuc,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,2,7,1,FALSE
12,0,pre,ss,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,2,6,2,FALSE
12,0,pre,tax,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,2,7,2,FALSE
12,0,pre,teach,a.Male,3.6,c.Bachelor's degree,b.Republican,-0.608861764501275,a.Yes,-0.706067369117059,FALSE,0,3,7,2,FALSE
13,0,post,health,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,2,6,1,TRUE
13,0,post,ss,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,2,6,2,TRUE
13,0,pre,cap,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,0,6,1,FALSE
13,0,pre,health,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,1,5,1,FALSE
13,0,pre,nuc,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,1,5,1,FALSE
13,0,pre,ss,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,1,5,2,FALSE
13,0,pre,tax,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,1,6,2,FALSE
13,0,pre,teach,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,1.08598179107852,TRUE,0,2,4,2,FALSE
14,0,post,cap,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,1,5,1,TRUE
14,0,post,tax,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,2,5,2,TRUE
14,0,pre,cap,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,1,5,1,FALSE
14,0,pre,health,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,1,2,1,FALSE
14,0,pre,nuc,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,1,4,1,FALSE
14,0,pre,ss,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,1,6,2,FALSE
14,0,pre,tax,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,1,5,2,FALSE
14,0,pre,teach,b.Female,4.5,c.Master's or doctoral degree,c.Independent,0.455581879731722,b.No or don't remember,-0.706067369117059,FALSE,0,0,6,2,FALSE
15,0,post,health,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,6,1,TRUE
15,0,post,ss,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,5,2,TRUE
15,0,pre,cap,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,7,1,FALSE
15,0,pre,health,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,5,1,FALSE
15,0,pre,nuc,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,5,1,FALSE
15,0,pre,ss,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,6,2,FALSE
15,0,pre,tax,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,4,2,FALSE
15,0,pre,teach,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,0,6,2,FALSE
16,0,post,nuc,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,2,5,1,TRUE
16,0,post,teach,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,2,5,2,TRUE
16,0,pre,cap,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,2,6,1,FALSE
16,0,pre,health,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,2,5,1,FALSE
16,0,pre,nuc,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,1,5,1,FALSE
16,0,pre,ss,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,3,5,2,FALSE
16,0,pre,tax,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,2,6,2,FALSE
16,0,pre,teach,a.Male,3.2,c.Bachelor's degree,a.Democrat,-0.608861764501275,a.Yes,1.08598179107852,TRUE,1,1,6,2,FALSE
17,0,post,cap,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,0,5,1,TRUE
17,0,post,tax,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,0,5,2,TRUE
17,0,pre,cap,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,2,5,1,FALSE
17,0,pre,health,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,1,4,1,FALSE
17,0,pre,nuc,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,0,3,1,FALSE
17,0,pre,ss,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,1,6,2,FALSE
17,0,pre,tax,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,0,4,2,FALSE
17,0,pre,teach,b.Female,2.8,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,1.08598179107852,TRUE,1,1,5,2,FALSE
18,0,post,nuc,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,2,5,1,TRUE
18,0,post,teach,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,3,5,2,TRUE
18,0,pre,cap,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,0,6,1,FALSE
18,0,pre,health,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,1,5,1,FALSE
18,0,pre,nuc,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,0,4,1,FALSE
18,0,pre,ss,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,2,4,2,FALSE
18,0,pre,tax,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,1,4,2,FALSE
18,0,pre,teach,a.Male,3.4,c.Bachelor's degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,1,4,2,FALSE
19,0,post,cap,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,7,1,TRUE
19,0,post,tax,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,7,2,TRUE
19,0,pre,cap,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,0,4,1,FALSE
19,0,pre,health,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,2,1,FALSE
19,0,pre,nuc,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,7,1,FALSE
19,0,pre,ss,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,6,2,FALSE
19,0,pre,tax,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,6,2,FALSE
19,0,pre,teach,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,4,2,FALSE
20,1,post,health,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,3,5,1,TRUE
20,1,post,ss,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,3,6,2,TRUE
20,1,pre,cap,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,1,7,1,FALSE
20,1,pre,health,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,1,2,1,FALSE
20,1,pre,nuc,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,2,6,1,FALSE
20,1,pre,ss,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,1,4,2,FALSE
20,1,pre,tax,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,3,5,2,FALSE
20,1,pre,teach,b.Female,2.5,c.Bachelor's degree,a.Democrat,-2.73774905296727,a.Yes,-0.706067369117059,TRUE,0,1,6,2,FALSE
21,1,post,nuc,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,1,6,1,TRUE
21,1,post,teach,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,1,5,2,TRUE
21,1,pre,cap,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,0,7,1,FALSE
21,1,pre,health,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,2,6,1,FALSE
21,1,pre,nuc,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,3,4,1,FALSE
21,1,pre,ss,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,1,4,2,FALSE
21,1,pre,tax,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,3,6,2,FALSE
21,1,pre,teach,a.Male,3,c.Bachelor's degree,b.Republican,-1.67330540873427,a.Yes,-2.49811652931264,TRUE,0,2,7,2,FALSE
22,1,post,nuc,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,6,1,TRUE
22,1,post,teach,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,6,2,TRUE
22,1,pre,cap,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,7,1,FALSE
22,1,pre,health,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,7,1,FALSE
22,1,pre,nuc,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,7,1,FALSE
22,1,pre,ss,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,7,2,FALSE
22,1,pre,tax,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,5,2,FALSE
22,1,pre,teach,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,7,2,FALSE
23,1,post,cap,a.Male,3.8,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,6,1,TRUE
23,1,post,tax,a.Male,3.8,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,5,2,TRUE
